org_id,org_name,about,address,org_type,org_website,company_ranking,headquarters_region,founded_date,equity_type,founders_name,investor_type,operating_status,investment_stage,number_of_exits,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,"White Venture Capital","Singapore based venture capital firm specialising in India FinTechs","Singapore, Central Region, Singapore",NULL,www.whiteventurecap.com,"18,470","Asia-Pacific (APAC) , Association of Southeast Asian Nations (ASEAN) , Southeast Asia",2021,NULL,"Amrish Rau , Jitendra Gupta , Sweta Rau","Venture Capital",Active,"Early Stage Venture, Seed, Venture",NULL,NULL,"2024-06-12 15:43:51",NULL,NULL,NULL,NULL
2,"Whiteboard Capital","Whiteboard Capital is Mumbai based early stage investment firm."," Mumbai, Maharashtra, India",NULL," whiteboardcap.com/index.html ",10999,"Asia-Pacific (APAC)",2016,NULL,"Kunal Shah , Sandeep Tandon","Venture Capital",Active,"Early Stage Venture, Seed",3,NULL,"2024-06-12 16:41:59",NULL,NULL,NULL,NULL
3,"Singularity Ventures","Singularity Ventures is a multi-strategy emerging markets investment firm that invests in both public as well as private companies..trimmed"," Chennai, Tamil Nadu, India.trimmed",NULL,singularityventures.in,22604,"Asia-Pacific (APAC)","Jan 18, 2007",NULL,"Tejus Sawjiani , Vishwa Chandra , Yash Kela","Venture Capital",Active,Seed,3,NULL,"2024-06-12 16:45:20",NULL,NULL,NULL,NULL
4,Jugyah,"India's only fin-tech powered, end to end, digital home rental platform."," Mumbai, Maharashtra, India",Private," www.jugyah.com ",145228,"Asia-Pacific (APAC)","May 1, 2023","Seed ","Ansuman Mohanty , Arshad Balwa",,Active,,NULL,NULL,"2024-06-12 17:24:39",NULL,NULL,NULL,NULL
5,Interviewgpt.io,"We conduct AI interviews which are on point, faster and cheaper because of our custom LLM's."," Hyderabad, Andhra Pradesh, India",Private," interviewgpt.io/ ",278893,"Asia-Pacific (APAC)","Aug 10, 2023","Pre-Seed ","Chaitra Latha Ravada , Kapil Verma , Manikanta Nath G P",,Active,,NULL,NULL,"2024-06-12 17:24:41",NULL,NULL,NULL,NULL
6,Furno,"Furno is a climate technology company that produces zero-emission ordinary Portland cement."," Palo Alto, California, United States",Private," furnomaterials.com/ ",5175,"San Francisco Bay Area , Silicon Valley , West Coast",2020,"Seed ","Gurinder Nagra",,Active,,NULL,NULL,"2024-06-12 17:24:42",NULL,NULL,NULL,NULL
7,Reviway,"Road Surface Maintenance Solution"," Reggio Nell Emilia, Emilia-Romagna, Italy",Private," www.reviway.com/ ",141853,"European Union (EU) , Europe, Middle East, and Africa (EMEA)",,"Pre-Seed ","Firas Bunni",,Active,,NULL,NULL,"2024-06-12 17:24:43",NULL,NULL,NULL,NULL
8,Figure,"Figure is a financial services company leveraging blockchain technology."," San Francisco, California, United States",Private," figure.com ",22988,"San Francisco Bay Area , West Coast , Western US","Jan 1, 2018","Series Unknown ","Alana Ackerson , Cynthia Chen , June Ou , Michael Cagney , Sara Priola",,Active,,NULL,NULL,"2024-06-12 17:24:44",NULL,NULL,NULL,NULL
9,"G2Q Computing","Quantum Computing software, AI & ML"," Milan, Lombardia, Italy",Private," g2qcomputing.com/ ",142925,"European Union (EU) , Europe, Middle East, and Africa (EMEA)","Mar 15, 2023","Pre-Seed ",,,Active,,NULL,NULL,"2024-06-12 17:24:45",NULL,NULL,NULL,NULL
10,"Juniper Networks","Juniper Networks is a networking company that markets and develops networking products for enterprise companies."," Sunnyvale, California, United States",Public," www.juniper.net ",1480,"San Francisco Bay Area , Silicon Valley , West Coast",1996,"Post-IPO Equity ","Pradeep Sindhu",,Active,,31,NULL,"2024-06-12 17:25:01",NULL,NULL,NULL,NULL
11,"Imli Strategy","We craft tailored SEO strategies for Solar Businesses, attracting the right audience and boosting your organic online visibility."," Dimapur, Assam, India",Private," imlistrategy.com/ ",334811,"Asia-Pacific (APAC)","Jul 31, 2023",NULL,"Abbaz Uddin",,Active,,NULL,NULL,"2024-06-13 18:41:57",NULL,NULL,NULL,NULL
12,"Bricx | UI/UX Design For B2B SaaS","We design stunning MVPs, uplift your SaaS design, or integrate with your design team to improve user experience & ship new features fast"," Delhi, Delhi, India",Private," www.bricxlabs.com ",520023,"Asia-Pacific (APAC)",Sep-23,NULL,"Divij Rakhra , Siddharth Vij",,Active,,NULL,NULL,"2024-06-13 18:42:13",NULL,NULL,NULL,NULL
13,PublishMe,"PublishMe is a gaming marketing agency that provides various services based on performance."," Üsküdar, Istanbul, Turkey",Private," www.publishme.agency/ ",212587,"Europe, Middle East, and Africa (EMEA) , Middle East , Europe, Middle East, and Africa (EMEA)",2019,NULL,"Levent Gökçeler , Özgür Özalp",,Active,,NULL,NULL,"2024-06-13 18:42:13",NULL,NULL,NULL,NULL
14,"Open Insurtech","Open Insurtech is an InsurTech as a service (IaaS) company that is oriented around financial, insurance, and wellness products/services.","New York, New York, United States",Private," openinsurtech.com ",126934,,"Aug 23, 2023","Pre-Seed ","Carlos Alberto Arroyo Gil, Carlos Ramon Arroyo Maciel, Daniel Arroyo Gil",,Active,,NULL,NULL,"2024-06-13 18:42:14",NULL,NULL,NULL,NULL
15,EasyQuote,"EasyQuote is a leading insurance comparison platform launched in 2023, dedicated to simplifying the search for affordable insurance quotes."," Fleet, Hampshire, United Kingdom",Private," www.easyquote.co.uk ",274147,"Europe, Middle East, and Africa (EMEA)","Jul 17, 2023",NULL,"Chris Richards",,Active,,NULL,NULL,"2024-06-13 18:42:14",NULL,NULL,NULL,NULL
16,LinkoFruit,"LinkoFruit is working in SEO field since last 7 years and have professional experts to work on client websites."," Haryana, Haryana, India",Private," linkofruit.com/ ",2862545,"Asia-Pacific (APAC)","Oct 31, 2011",NULL,,,Active,,NULL,NULL,"2024-06-13 18:42:15",NULL,NULL,NULL,NULL
17,"Sunera Technologies","SuneraTech is now at the frontline of Digital Transformation and enables innovation to promote futuristic organizations. Our successful customer-centric initiatives around Cloud Transformation, Digital Transformation and Innovation, Data monetization, Digital Assurance, Enterprise, and App Modernization positioned it as a preferred IT partner for"," Troy, Michigan, United States",Private," www.suneratech.com/ ",168200,"Greater Detroit Area , Great Lakes , Midwestern US",2004,NULL,"Ravi Reddy , Srikanth Pakala , Sudheer Mareddi",,Active,,NULL,NULL,"2024-06-13 18:42:15",NULL,NULL,NULL,NULL
18,"Joe Gear Companies","The Joe Gear Companies have grown to six separate companies over the last 55 years with its own unique contribution to the global community."," Monroe, Louisiana, United States",Private," www.joegearco.com ",1935954,"Southern US","Jan 1, 1957",NULL,,,Active,,NULL,NULL,"2024-06-13 18:42:15",NULL,NULL,NULL,NULL
19,Studentpeeps,"Get student discounts when you shop"," Jaipur, Rajasthan, India",Private," studentpeeps.club/ ",139532,"Asia-Pacific (APAC)","Feb 10, 2021",NULL,"Ayush Kumar Mittal , Chirag Mittal",,Active,,NULL,NULL,"2024-06-13 18:42:16",NULL,NULL,NULL,NULL
20,"Alkali Metals","Alkali Metals is a manufacturer and seller of chemicals."," Hyderabad, Andhra Pradesh, India",Public," www.alkalimetals.com/ ",200333,"Asia-Pacific (APAC)","Jan 1, 1968",NULL,"Y. V. S. S. MURTY",,Active,,NULL,NULL,"2024-06-13 18:42:16",NULL,NULL,NULL,NULL
21,PrediQt,"PrediQt is a AI/ML and Data Analytics start up empowering businesses to leverage data-driven insights for strategic decision-making"," Salt Lake City, West Bengal, India",Private," www.prediqt.it ",184198,"Asia-Pacific (APAC)",2017,NULL,"Abhishek Nandy , Indranil Mukhopadhyay , Kalpadip Basu , Kalyan Kar , Subhalakshmi Samanta",,Active,,NULL,NULL,"2024-06-13 18:42:17",NULL,NULL,NULL,NULL
22,"Andhra Pradesh Tanneries","Andhra Pradesh Tanneries is engaged in the leather business"," Vizianagaram, Andhra Pradesh, India",Public," www.aptl.net.in ",227329,"Asia-Pacific (APAC)",,NULL,,,Active,,NULL,NULL,"2024-06-13 18:42:17",NULL,NULL,NULL,NULL
23,MineOne,"MineOne is a cryptocurrency mining investment firm that provides consistent crypto mining value investments."," New York, New York, United States",Private," mineone.io/ ",9370,"Greater New York Area , East Coast , Northeastern US",2021,"Series A ","Chong Wang , Jiaming Li",,Active,,NULL,NULL,"2024-06-13 18:42:18",NULL,NULL,NULL,NULL
24,"Matel motion","Matel Motion manufactures synchronous machines for industrial, HVAC, pumping, and e-mobility applications."," Pune, Maharashtra, India",Private," matel.co.in ",170735,"Asia-Pacific (APAC)",2016,"Series A ",,,Active,,NULL,NULL,"2024-06-13 18:42:18",NULL,NULL,NULL,NULL
25,Kudos,"Kudos offers web-based tools and services to help researchers, institutions, publishers, and funders increase the impact of their research."," Oxford, Oxfordshire, United Kingdom",Private," www.growkudos.com ",67354,"Europe, Middle East, and Africa (EMEA)","Aug 13, 2013","Angel ","Charlie Rapple , David Sommer , Melinda Kenneway",,Active,,NULL,NULL,"2024-06-13 18:42:19",NULL,NULL,NULL,NULL
26,Lambda,"Lambda is a cloud-based GPU company catering to developers throughout the entire lifecycle of AI development."," San Francisco, California, United States",Private," lambdalabs.com ",13,"San Francisco Bay Area , West Coast , Western US",2012,"Debt Financing ","Michael Balaban , Stephen Balaban",,Active,,NULL,NULL,"2024-06-13 18:42:19",NULL,NULL,NULL,NULL
27,"Sarla Aviation","Sarla Aviation creates electric vertical take-off and landing eVTOL aircraft."," Bengaluru, Karnataka, India",Private," sarla-aviation.com/ ",,"Asia-Pacific (APAC)",Jan-24,"Pre-Seed ",,,Active,,NULL,NULL,"2024-06-13 18:42:20",NULL,NULL,NULL,NULL
