event_sponsor_id,event_id,sponsor_name,sponsor_desc,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,1," 128 Technology ","128 Technology provides software-based routing solutions that enable enterprises and service providers to build networks.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
2,1," 2nd Watch ","2nd Watch is an AWS Premier Partner and a Microsoft Azure Gold Partner that provides consulting and managed cloud services to enterprises.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
3,1," 8x8 ","8x8 offers secure and reliable cloud-based, enterprise-class business phone systems, unified communications, and contact center solutions.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
4,1," Ab Initio ","Ab Initio is a software platform providing high-volume data processing systems and enterprise application integration for businesses.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
5,1," Accenture ","Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
6,1," A Cloud Guru ","A Cloud Guru is a social learning platform for cloud computing.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
7,2," Acronis ","Acronis unifies data protection & cybersecurity to deliver integrated, automated cyber protection to solve challenges of the digital world.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
8,2," Actimize ","NICE Actimize provides real-time fraud prevention, anti-money laundering, enterprise investigations and risk management solutions.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
9,2," Akamai Technologies ","Akamai is a provider of cloud services that help enterprises provide secure, high-performing user experiences on any device.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
10,2," Armis Security ","Armis is a developer of an asset intelligence platform to analyze endpoint behavior to identify risks and attacks.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
11,2," AT&T CyberSecurity ","AT&T CyberSecurity provides threat intelligence, collaborative defense, and security solutions for businesses.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
12,2," Axonius ","Axonius is an asset inventory management platform that focuses on cybersecurity solutions and policies.",NULL,"2024-06-17 16:34:00",NULL,NULL,NULL,NULL
13,2," Acronis ","Acronis unifies data protection & cybersecurity to deliver integrated, automated cyber protection to solve challenges of the digital world.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
14,2," Actimize ","NICE Actimize provides real-time fraud prevention, anti-money laundering, enterprise investigations and risk management solutions.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
15,2," Akamai Technologies ","Akamai is a provider of cloud services that help enterprises provide secure, high-performing user experiences on any device.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
16,2," Armis Security ","Armis is a developer of an asset intelligence platform to analyze endpoint behavior to identify risks and attacks.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
17,2," AT&T CyberSecurity ","AT&T CyberSecurity provides threat intelligence, collaborative defense, and security solutions for businesses.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
18,2," Axonius ","Axonius is an asset inventory management platform that focuses on cybersecurity solutions and policies.",NULL,"2024-06-17 16:34:01",NULL,NULL,NULL,NULL
19,4," Accurics ","Accurics is a cloud cyber resilience specialist that enables resilient, self-healing cloud-native infrastructure.",NULL,"2024-06-17 16:34:02",NULL,NULL,NULL,NULL
